,image_path,label
1475,ffhq1024/22635.png,0
18526,train_stylegan2/111103.png,1
9400,ffhq1024/36462.png,0
7477,ffhq1024/06099.png,0
15957,train_stylegan2/59547.png,1
10918,train_stylegan2/103070.png,1
560,ffhq1024/67156.png,0
13042,train_stylegan2/106811.png,1
3883,ffhq1024/39402.png,0
18113,train_stylegan2/112165.png,1
10490,train_stylegan2/108976.png,1
19089,train_stylegan2/72648.png,1
19297,train_stylegan2/52235.png,1
6565,ffhq1024/33946.png,0
17536,train_stylegan2/104846.png,1
4650,ffhq1024/61044.png,0
13320,train_stylegan2/103117.png,1
4926,ffhq1024/03811.png,0
8571,ffhq1024/15545.png,0
10424,train_stylegan2/79063.png,1
18028,train_stylegan2/95731.png,1
15981,train_stylegan2/56602.png,1
10209,train_stylegan2/80134.png,1
17340,train_stylegan2/96916.png,1
48,ffhq1024/30991.png,0
8279,ffhq1024/26194.png,0
3689,ffhq1024/51197.png,0
11393,train_stylegan2/103359.png,1
15383,train_stylegan2/115525.png,1
15551,train_stylegan2/54452.png,1
2737,ffhq1024/34618.png,0
4529,ffhq1024/16528.png,0
10043,train_stylegan2/114240.png,1
10740,train_stylegan2/94193.png,1
3958,ffhq1024/24293.png,0
10090,train_stylegan2/107865.png,1
14440,train_stylegan2/57745.png,1
1021,ffhq1024/46552.png,0
6445,ffhq1024/58906.png,0
7011,ffhq1024/19942.png,0
11396,train_stylegan2/109998.png,1
6385,ffhq1024/19674.png,0
10201,train_stylegan2/102034.png,1
16030,train_stylegan2/95933.png,1
12213,train_stylegan2/62996.png,1
16569,train_stylegan2/83968.png,1
7108,ffhq1024/48162.png,0
9572,ffhq1024/32038.png,0
7903,ffhq1024/44846.png,0
17499,train_stylegan2/51349.png,1
6864,ffhq1024/08718.png,0
12069,train_stylegan2/119231.png,1
3694,ffhq1024/35226.png,0
7495,ffhq1024/47646.png,0
7979,ffhq1024/12439.png,0
8274,ffhq1024/30608.png,0
7015,ffhq1024/35129.png,0
17127,train_stylegan2/80375.png,1
14896,train_stylegan2/55004.png,1
18381,train_stylegan2/102002.png,1
12590,train_stylegan2/84812.png,1
5631,ffhq1024/64563.png,0
2469,ffhq1024/42869.png,0
13435,train_stylegan2/53992.png,1
15593,train_stylegan2/81857.png,1
11096,train_stylegan2/65757.png,1
6169,ffhq1024/30978.png,0
13275,train_stylegan2/94934.png,1
9847,ffhq1024/14039.png,0
11708,train_stylegan2/67858.png,1
5454,ffhq1024/42870.png,0
8376,ffhq1024/22352.png,0
18645,train_stylegan2/62651.png,1
1821,ffhq1024/52583.png,0
16012,train_stylegan2/85439.png,1
13385,train_stylegan2/55748.png,1
5693,ffhq1024/59734.png,0
7957,ffhq1024/07069.png,0
291,ffhq1024/56182.png,0
11065,train_stylegan2/54676.png,1
12921,train_stylegan2/88310.png,1
3867,ffhq1024/19196.png,0
16111,train_stylegan2/69250.png,1
8661,ffhq1024/27215.png,0
14303,train_stylegan2/108739.png,1
19466,train_stylegan2/68460.png,1
19719,train_stylegan2/72841.png,1
12228,train_stylegan2/63883.png,1
9408,ffhq1024/31179.png,0
5783,ffhq1024/05650.png,0
18925,train_stylegan2/104490.png,1
2594,ffhq1024/56598.png,0
6495,ffhq1024/09613.png,0
3372,ffhq1024/24193.png,0
6995,ffhq1024/09073.png,0
16326,train_stylegan2/102271.png,1
3055,ffhq1024/65079.png,0
19867,train_stylegan2/78226.png,1
8552,ffhq1024/19569.png,0
16345,train_stylegan2/69073.png,1
19888,train_stylegan2/84692.png,1
3336,ffhq1024/50027.png,0
10395,train_stylegan2/116723.png,1
13438,train_stylegan2/69774.png,1
3716,ffhq1024/03194.png,0
19097,train_stylegan2/84290.png,1
11701,train_stylegan2/98200.png,1
11441,train_stylegan2/84697.png,1
840,ffhq1024/13449.png,0
1690,ffhq1024/10396.png,0
15943,train_stylegan2/94358.png,1
8663,ffhq1024/14564.png,0
8203,ffhq1024/01293.png,0
16391,train_stylegan2/82141.png,1
14285,train_stylegan2/52093.png,1
17115,train_stylegan2/86053.png,1
11725,train_stylegan2/61317.png,1
9954,ffhq1024/65153.png,0
12573,train_stylegan2/61824.png,1
2012,ffhq1024/15197.png,0
18836,train_stylegan2/77471.png,1
10761,train_stylegan2/87140.png,1
16904,train_stylegan2/95309.png,1
301,ffhq1024/55169.png,0
439,ffhq1024/63888.png,0
6404,ffhq1024/29180.png,0
10330,train_stylegan2/102568.png,1
12765,train_stylegan2/69469.png,1
10084,train_stylegan2/91240.png,1
2202,ffhq1024/61373.png,0
6464,ffhq1024/69106.png,0
12144,train_stylegan2/108579.png,1
5530,ffhq1024/35972.png,0
3645,ffhq1024/01624.png,0
10630,train_stylegan2/60533.png,1
3544,ffhq1024/63092.png,0
14771,train_stylegan2/97487.png,1
7222,ffhq1024/01734.png,0
5772,ffhq1024/15895.png,0
17471,train_stylegan2/58417.png,1
4895,ffhq1024/62790.png,0
17243,train_stylegan2/57217.png,1
1936,ffhq1024/34573.png,0
6867,ffhq1024/23144.png,0
9208,ffhq1024/49372.png,0
1916,ffhq1024/61184.png,0
1676,ffhq1024/23225.png,0
8437,ffhq1024/07299.png,0
4964,ffhq1024/19568.png,0
17389,train_stylegan2/103914.png,1
5080,ffhq1024/40613.png,0
9139,ffhq1024/41652.png,0
15137,train_stylegan2/76984.png,1
11788,train_stylegan2/112679.png,1
297,ffhq1024/18344.png,0
458,ffhq1024/58931.png,0
1643,ffhq1024/25638.png,0
2318,ffhq1024/46175.png,0
5455,ffhq1024/65647.png,0
15091,train_stylegan2/51902.png,1
14265,train_stylegan2/101177.png,1
17934,train_stylegan2/55921.png,1
8974,ffhq1024/58223.png,0
12700,train_stylegan2/100267.png,1
13011,train_stylegan2/81472.png,1
15987,train_stylegan2/56316.png,1
15107,train_stylegan2/99505.png,1
14073,train_stylegan2/83985.png,1
370,ffhq1024/62236.png,0
12626,train_stylegan2/73849.png,1
7672,ffhq1024/42017.png,0
11307,train_stylegan2/85463.png,1
9974,ffhq1024/34289.png,0
6212,ffhq1024/59152.png,0
9041,ffhq1024/17388.png,0
2271,ffhq1024/00226.png,0
18700,train_stylegan2/101017.png,1
6165,ffhq1024/49914.png,0
18574,train_stylegan2/81672.png,1
3663,ffhq1024/52411.png,0
13962,train_stylegan2/81740.png,1
9533,ffhq1024/45485.png,0
10326,train_stylegan2/82421.png,1
8948,ffhq1024/68689.png,0
6296,ffhq1024/45147.png,0
4149,ffhq1024/44916.png,0
3704,ffhq1024/69833.png,0
1565,ffhq1024/28859.png,0
6955,ffhq1024/32627.png,0
2580,ffhq1024/67934.png,0
11523,train_stylegan2/92100.png,1
1663,ffhq1024/44071.png,0
