,image_path,label
24033,train_stylegan2/96514.png,1
14613,ffhq1024/04737.png,0
26585,train_stylegan2/50488.png,1
4049,ffhq1024/10063.png,0
29558,train_stylegan2/109088.png,1
7403,ffhq1024/16707.png,0
14278,ffhq1024/26943.png,0
24844,train_stylegan2/118583.png,1
5075,ffhq1024/03599.png,0
26698,train_stylegan2/83639.png,1
19826,train_stylegan2/53793.png,1
8430,ffhq1024/18184.png,0
7680,ffhq1024/58168.png,0
26583,train_stylegan2/94050.png,1
2048,ffhq1024/27751.png,0
22267,train_stylegan2/71384.png,1
12399,ffhq1024/63850.png,0
13156,ffhq1024/58327.png,0
9345,ffhq1024/54113.png,0
8639,ffhq1024/63509.png,0
24104,train_stylegan2/63467.png,1
29131,train_stylegan2/80046.png,1
23504,train_stylegan2/78411.png,1
5653,ffhq1024/21079.png,0
18395,train_stylegan2/90265.png,1
7322,ffhq1024/55714.png,0
22429,train_stylegan2/57779.png,1
5946,ffhq1024/30870.png,0
14014,ffhq1024/67191.png,0
18826,train_stylegan2/53182.png,1
29444,train_stylegan2/71363.png,1
21682,train_stylegan2/97161.png,1
3330,ffhq1024/04679.png,0
21061,train_stylegan2/54986.png,1
27538,train_stylegan2/99818.png,1
4693,ffhq1024/19177.png,0
600,ffhq1024/07499.png,0
16405,train_stylegan2/66933.png,1
29545,train_stylegan2/67521.png,1
10633,ffhq1024/01923.png,0
27424,train_stylegan2/96852.png,1
4283,ffhq1024/67850.png,0
6797,ffhq1024/40229.png,0
17543,train_stylegan2/79585.png,1
14022,ffhq1024/53027.png,0
11432,ffhq1024/31610.png,0
8755,ffhq1024/10953.png,0
29800,train_stylegan2/110100.png,1
4099,ffhq1024/00024.png,0
1818,ffhq1024/18577.png,0
27958,train_stylegan2/91984.png,1
11479,ffhq1024/17197.png,0
784,ffhq1024/02307.png,0
3440,ffhq1024/08742.png,0
5590,ffhq1024/05341.png,0
20330,train_stylegan2/65606.png,1
16526,train_stylegan2/93266.png,1
21901,train_stylegan2/100915.png,1
9373,ffhq1024/42616.png,0
26988,train_stylegan2/113495.png,1
23382,train_stylegan2/87646.png,1
23125,train_stylegan2/60614.png,1
15785,train_stylegan2/85857.png,1
26885,train_stylegan2/92942.png,1
9079,ffhq1024/22393.png,0
27862,train_stylegan2/101530.png,1
29033,train_stylegan2/62165.png,1
23227,train_stylegan2/74886.png,1
21912,train_stylegan2/105740.png,1
25613,train_stylegan2/92701.png,1
494,ffhq1024/31027.png,0
16618,train_stylegan2/93467.png,1
16090,train_stylegan2/101853.png,1
24630,train_stylegan2/84689.png,1
14922,ffhq1024/26839.png,0
10061,ffhq1024/53659.png,0
56,ffhq1024/69380.png,0
10889,ffhq1024/15865.png,0
13342,ffhq1024/33917.png,0
26484,train_stylegan2/114293.png,1
13399,ffhq1024/42017.png,0
5552,ffhq1024/08552.png,0
26800,train_stylegan2/83257.png,1
7214,ffhq1024/02640.png,0
8798,ffhq1024/32179.png,0
20709,train_stylegan2/70486.png,1
15822,train_stylegan2/67718.png,1
29921,train_stylegan2/97016.png,1
15678,train_stylegan2/118969.png,1
8237,ffhq1024/02372.png,0
4881,ffhq1024/58112.png,0
9548,ffhq1024/39558.png,0
2631,ffhq1024/06751.png,0
26946,train_stylegan2/98912.png,1
5129,ffhq1024/44572.png,0
22581,train_stylegan2/104467.png,1
16385,train_stylegan2/74168.png,1
2638,ffhq1024/50995.png,0
1715,ffhq1024/07148.png,0
28983,train_stylegan2/86801.png,1
26693,train_stylegan2/101582.png,1
5000,ffhq1024/51951.png,0
10521,ffhq1024/13468.png,0
18388,train_stylegan2/86132.png,1
17027,train_stylegan2/105258.png,1
3044,ffhq1024/04471.png,0
29628,train_stylegan2/79015.png,1
19969,train_stylegan2/102007.png,1
6958,ffhq1024/11602.png,0
15354,train_stylegan2/75397.png,1
23515,train_stylegan2/98583.png,1
4090,ffhq1024/49331.png,0
29264,train_stylegan2/81774.png,1
14716,ffhq1024/03785.png,0
15654,train_stylegan2/58388.png,1
20706,train_stylegan2/100242.png,1
22930,train_stylegan2/115826.png,1
4038,ffhq1024/49698.png,0
25193,train_stylegan2/84021.png,1
12580,ffhq1024/42715.png,0
12391,ffhq1024/62910.png,0
16174,train_stylegan2/84969.png,1
9381,ffhq1024/37618.png,0
8373,ffhq1024/03888.png,0
7002,ffhq1024/33077.png,0
10771,ffhq1024/13431.png,0
12779,ffhq1024/24757.png,0
20594,train_stylegan2/67990.png,1
17647,train_stylegan2/59258.png,1
18574,train_stylegan2/62945.png,1
22797,train_stylegan2/79968.png,1
29433,train_stylegan2/119925.png,1
3943,ffhq1024/51912.png,0
12553,ffhq1024/11583.png,0
13851,ffhq1024/41919.png,0
19049,train_stylegan2/67618.png,1
9433,ffhq1024/51157.png,0
27611,train_stylegan2/78524.png,1
25370,train_stylegan2/84120.png,1
23064,train_stylegan2/107763.png,1
15559,train_stylegan2/97126.png,1
15453,train_stylegan2/92909.png,1
14196,ffhq1024/03542.png,0
13242,ffhq1024/35619.png,0
28632,train_stylegan2/95858.png,1
12008,ffhq1024/00979.png,0
5396,ffhq1024/66040.png,0
18438,train_stylegan2/105570.png,1
11697,ffhq1024/37868.png,0
6090,ffhq1024/32688.png,0
24115,train_stylegan2/79426.png,1
17961,train_stylegan2/117570.png,1
13715,ffhq1024/18848.png,0
27178,train_stylegan2/75752.png,1
16397,train_stylegan2/111320.png,1
14601,ffhq1024/69884.png,0
9743,ffhq1024/10611.png,0
27877,train_stylegan2/98243.png,1
4717,ffhq1024/01072.png,0
27950,train_stylegan2/108761.png,1
11156,ffhq1024/26904.png,0
7277,ffhq1024/32374.png,0
25590,train_stylegan2/104602.png,1
28351,train_stylegan2/83756.png,1
15304,train_stylegan2/100011.png,1
15406,train_stylegan2/113321.png,1
20802,train_stylegan2/78973.png,1
26119,train_stylegan2/98668.png,1
21580,train_stylegan2/52433.png,1
16806,train_stylegan2/51445.png,1
3733,ffhq1024/58734.png,0
14480,ffhq1024/60386.png,0
4117,ffhq1024/10743.png,0
10958,ffhq1024/17990.png,0
9614,ffhq1024/01599.png,0
12797,ffhq1024/47050.png,0
6315,ffhq1024/06617.png,0
4161,ffhq1024/69665.png,0
12677,ffhq1024/46448.png,0
11473,ffhq1024/04464.png,0
7343,ffhq1024/02678.png,0
27366,train_stylegan2/51136.png,1
19264,train_stylegan2/63438.png,1
21706,train_stylegan2/51316.png,1
11304,ffhq1024/38380.png,0
22145,train_stylegan2/109173.png,1
16765,train_stylegan2/113870.png,1
6802,ffhq1024/07429.png,0
1115,ffhq1024/03545.png,0
14604,ffhq1024/42387.png,0
3,ffhq1024/53089.png,0
28827,train_stylegan2/80970.png,1
18324,train_stylegan2/82884.png,1
9660,ffhq1024/35098.png,0
28635,train_stylegan2/84574.png,1
29533,train_stylegan2/98629.png,1
20982,train_stylegan2/66835.png,1
7195,ffhq1024/59459.png,0
2492,ffhq1024/16974.png,0
6277,ffhq1024/17444.png,0
9746,ffhq1024/28108.png,0
25996,train_stylegan2/111155.png,1
21069,train_stylegan2/71176.png,1
2733,ffhq1024/03359.png,0
3112,ffhq1024/13497.png,0
14101,ffhq1024/28588.png,0
20979,train_stylegan2/58811.png,1
9627,ffhq1024/37312.png,0
22531,train_stylegan2/91114.png,1
20787,train_stylegan2/95674.png,1
15198,train_stylegan2/64027.png,1
2346,ffhq1024/17648.png,0
23051,train_stylegan2/113664.png,1
14827,ffhq1024/04506.png,0
22820,train_stylegan2/113642.png,1
23945,train_stylegan2/78191.png,1
26175,train_stylegan2/97575.png,1
23750,train_stylegan2/82485.png,1
16026,train_stylegan2/56237.png,1
1275,ffhq1024/20271.png,0
21810,train_stylegan2/81180.png,1
6111,ffhq1024/35525.png,0
2805,ffhq1024/07094.png,0
19722,train_stylegan2/58771.png,1
14746,ffhq1024/58566.png,0
17213,train_stylegan2/65129.png,1
17873,train_stylegan2/60107.png,1
24315,train_stylegan2/113760.png,1
1064,ffhq1024/16885.png,0
21707,train_stylegan2/89284.png,1
8268,ffhq1024/25708.png,0
25287,train_stylegan2/72906.png,1
29737,train_stylegan2/95764.png,1
11015,ffhq1024/06126.png,0
17587,train_stylegan2/51199.png,1
23154,train_stylegan2/107121.png,1
29772,train_stylegan2/70368.png,1
23559,train_stylegan2/75671.png,1
27560,train_stylegan2/56889.png,1
13258,ffhq1024/00052.png,0
28165,train_stylegan2/108125.png,1
8965,ffhq1024/51813.png,0
26689,train_stylegan2/79154.png,1
21863,train_stylegan2/51663.png,1
29845,train_stylegan2/94980.png,1
