,image_path,label
29175,ffhq1024/57935.png,0
123781,stylegan2_new/56148.png,1
53014,ffhq1024/05566.png,0
53932,ffhq1024/66021.png,0
110980,stylegan2_new/78282.png,1
25052,ffhq1024/37204.png,0
97837,stylegan2_new/60434.png,1
26213,ffhq1024/29034.png,0
122226,stylegan2_new/87943.png,1
97135,stylegan2_new/107760.png,1
95030,stylegan2_new/118990.png,1
87867,stylegan2_new/109044.png,1
123785,stylegan2_new/86967.png,1
82715,stylegan2_new/83269.png,1
31028,ffhq1024/23636.png,0
56800,ffhq1024/04397.png,0
131713,stylegan2_new/50486.png,1
994,ffhq1024/48488.png,0
20417,ffhq1024/05715.png,0
109128,stylegan2_new/95463.png,1
93622,stylegan2_new/118929.png,1
122501,stylegan2_new/117425.png,1
66060,ffhq1024/40591.png,0
117783,stylegan2_new/64164.png,1
60647,ffhq1024/67202.png,0
77266,stylegan2_new/111390.png,1
133870,stylegan2_new/73000.png,1
96508,stylegan2_new/55221.png,1
87099,stylegan2_new/92447.png,1
101691,stylegan2_new/109213.png,1
65350,ffhq1024/18175.png,0
74522,stylegan2_new/88328.png,1
81837,stylegan2_new/114216.png,1
10391,ffhq1024/26411.png,0
32950,ffhq1024/55303.png,0
87097,stylegan2_new/86125.png,1
54080,ffhq1024/31353.png,0
110646,stylegan2_new/91666.png,1
108503,stylegan2_new/101729.png,1
56074,ffhq1024/28147.png,0
45225,ffhq1024/37396.png,0
64145,ffhq1024/16615.png,0
85770,stylegan2_new/88175.png,1
134493,stylegan2_new/83495.png,1
34184,ffhq1024/03268.png,0
114298,stylegan2_new/70724.png,1
74675,stylegan2_new/55934.png,1
70851,stylegan2_new/107545.png,1
29907,ffhq1024/21192.png,0
2615,ffhq1024/12947.png,0
74971,stylegan2_new/50385.png,1
70332,stylegan2_new/107875.png,1
17691,ffhq1024/41953.png,0
15240,ffhq1024/41717.png,0
93984,stylegan2_new/58958.png,1
87924,stylegan2_new/95339.png,1
65313,ffhq1024/52930.png,0
27061,ffhq1024/56338.png,0
19060,ffhq1024/08276.png,0
106857,stylegan2_new/113955.png,1
43646,ffhq1024/05131.png,0
13090,ffhq1024/58765.png,0
103629,stylegan2_new/95574.png,1
73799,stylegan2_new/94722.png,1
24750,ffhq1024/39384.png,0
66738,ffhq1024/47908.png,0
41607,ffhq1024/31107.png,0
108131,stylegan2_new/53977.png,1
4676,ffhq1024/53477.png,0
75961,stylegan2_new/91819.png,1
123685,stylegan2_new/116045.png,1
59337,ffhq1024/22445.png,0
60402,ffhq1024/47166.png,0
91595,stylegan2_new/52228.png,1
107532,stylegan2_new/73863.png,1
102374,stylegan2_new/71681.png,1
4752,ffhq1024/05311.png,0
66194,ffhq1024/50576.png,0
77534,stylegan2_new/119288.png,1
4953,ffhq1024/49827.png,0
121391,stylegan2_new/119201.png,1
99964,stylegan2_new/75611.png,1
31522,ffhq1024/01049.png,0
136737,stylegan2_new/65320.png,1
107291,stylegan2_new/55931.png,1
48164,ffhq1024/03725.png,0
21204,ffhq1024/33984.png,0
23307,ffhq1024/33420.png,0
137989,stylegan2_new/99166.png,1
35285,ffhq1024/39006.png,0
38693,ffhq1024/32833.png,0
54952,ffhq1024/46277.png,0
86678,stylegan2_new/111356.png,1
129975,stylegan2_new/105328.png,1
131187,stylegan2_new/105634.png,1
