,image_path,label
8858,train_stylegan2/67203.png,1
6298,train_stylegan2/106167.png,1
4772,ffhq1024/27612.png,0
1667,ffhq1024/38950.png,0
2129,ffhq1024/54773.png,0
9636,train_stylegan2/102862.png,1
6624,train_stylegan2/108436.png,1
7874,train_stylegan2/88140.png,1
7592,train_stylegan2/117250.png,1
1495,ffhq1024/50831.png,0
9222,train_stylegan2/79583.png,1
3876,ffhq1024/41471.png,0
3263,ffhq1024/01981.png,0
2428,ffhq1024/33102.png,0
1006,ffhq1024/52558.png,0
6055,train_stylegan2/102668.png,1
5819,train_stylegan2/102612.png,1
249,ffhq1024/14531.png,0
6638,train_stylegan2/58624.png,1
2096,ffhq1024/41679.png,0
8442,train_stylegan2/119775.png,1
8521,train_stylegan2/76974.png,1
3043,ffhq1024/38090.png,0
2978,ffhq1024/39938.png,0
2399,ffhq1024/35521.png,0
1870,ffhq1024/08641.png,0
678,ffhq1024/65825.png,0
6308,train_stylegan2/92614.png,1
1007,ffhq1024/16522.png,0
6431,train_stylegan2/61876.png,1
9022,train_stylegan2/111117.png,1
4548,ffhq1024/18298.png,0
8204,train_stylegan2/51425.png,1
3809,ffhq1024/22106.png,0
963,ffhq1024/12360.png,0
2405,ffhq1024/20552.png,0
8560,train_stylegan2/80110.png,1
9710,train_stylegan2/85905.png,1
7689,train_stylegan2/51798.png,1
8795,train_stylegan2/118323.png,1
9549,train_stylegan2/79109.png,1
7965,train_stylegan2/55149.png,1
8443,train_stylegan2/84884.png,1
2650,ffhq1024/15130.png,0
8918,train_stylegan2/56910.png,1
4333,ffhq1024/17709.png,0
8097,train_stylegan2/63084.png,1
74,ffhq1024/00440.png,0
3109,ffhq1024/14273.png,0
4434,ffhq1024/69310.png,0
1969,ffhq1024/16812.png,0
7576,train_stylegan2/85985.png,1
9929,train_stylegan2/99832.png,1
8843,train_stylegan2/70345.png,1
4906,ffhq1024/59981.png,0
2946,ffhq1024/51520.png,0
8577,train_stylegan2/83436.png,1
794,ffhq1024/57829.png,0
7682,train_stylegan2/68190.png,1
2324,ffhq1024/27846.png,0
8552,train_stylegan2/116836.png,1
8748,train_stylegan2/69663.png,1
834,ffhq1024/29828.png,0
7257,train_stylegan2/113523.png,1
9351,train_stylegan2/92691.png,1
5040,train_stylegan2/57031.png,1
3254,ffhq1024/10225.png,0
9088,train_stylegan2/107266.png,1
173,ffhq1024/57147.png,0
8585,train_stylegan2/75715.png,1
3166,ffhq1024/66175.png,0
5190,train_stylegan2/92539.png,1
863,ffhq1024/69508.png,0
6585,train_stylegan2/88607.png,1
4163,ffhq1024/59971.png,0
1891,ffhq1024/15823.png,0
1899,ffhq1024/41859.png,0
5189,train_stylegan2/92096.png,1
7055,train_stylegan2/106374.png,1
6764,train_stylegan2/93263.png,1
5220,train_stylegan2/81114.png,1
3581,ffhq1024/39334.png,0
5379,train_stylegan2/54791.png,1
1034,ffhq1024/33518.png,0
235,ffhq1024/43196.png,0
2256,ffhq1024/00559.png,0
1347,ffhq1024/63963.png,0
4471,ffhq1024/07407.png,0
1130,ffhq1024/50252.png,0
5118,train_stylegan2/67559.png,1
945,ffhq1024/61643.png,0
468,ffhq1024/06817.png,0
9660,train_stylegan2/60068.png,1
3229,ffhq1024/41703.png,0
4398,ffhq1024/36039.png,0
5210,train_stylegan2/73871.png,1
582,ffhq1024/00106.png,0
7048,train_stylegan2/57454.png,1
9228,train_stylegan2/89216.png,1
1453,ffhq1024/22611.png,0
9498,train_stylegan2/77498.png,1
155,ffhq1024/64419.png,0
4170,ffhq1024/52926.png,0
2944,ffhq1024/61367.png,0
8630,train_stylegan2/107419.png,1
5148,train_stylegan2/83199.png,1
485,ffhq1024/59926.png,0
1888,ffhq1024/14437.png,0
2673,ffhq1024/39497.png,0
1533,ffhq1024/61124.png,0
7757,train_stylegan2/106914.png,1
6483,train_stylegan2/68496.png,1
6452,train_stylegan2/76357.png,1
6324,train_stylegan2/60197.png,1
2172,ffhq1024/34336.png,0
9808,train_stylegan2/68640.png,1
3267,ffhq1024/37710.png,0
8354,train_stylegan2/94431.png,1
4377,ffhq1024/69963.png,0
9473,train_stylegan2/73554.png,1
5206,train_stylegan2/114560.png,1
3368,ffhq1024/40847.png,0
1165,ffhq1024/40064.png,0
2667,ffhq1024/15759.png,0
1330,ffhq1024/53330.png,0
386,ffhq1024/47190.png,0
3218,ffhq1024/25535.png,0
4581,ffhq1024/53653.png,0
6063,train_stylegan2/119963.png,1
