,image_path,label
16659,train_stylegan2/80610.png,1
26581,train_stylegan2/50700.png,1
18437,train_stylegan2/62858.png,1
16249,train_stylegan2/96258.png,1
13174,ffhq1024/41873.png,0
28457,train_stylegan2/57826.png,1
28453,train_stylegan2/99915.png,1
23028,train_stylegan2/95731.png,1
10410,ffhq1024/55916.png,0
15889,train_stylegan2/90404.png,1
15320,train_stylegan2/93988.png,1
6315,ffhq1024/06617.png,0
10604,ffhq1024/11035.png,0
23912,train_stylegan2/80045.png,1
22706,train_stylegan2/60920.png,1
4592,ffhq1024/18578.png,0
24758,train_stylegan2/56882.png,1
24110,train_stylegan2/96779.png,1
22438,train_stylegan2/114282.png,1
11922,ffhq1024/39341.png,0
15817,train_stylegan2/98709.png,1
23875,train_stylegan2/110719.png,1
26505,train_stylegan2/51965.png,1
25144,train_stylegan2/79015.png,1
26183,train_stylegan2/83111.png,1
25042,train_stylegan2/67719.png,1
13234,ffhq1024/32577.png,0
14188,ffhq1024/66585.png,0
20211,train_stylegan2/93279.png,1
4416,ffhq1024/10262.png,0
7352,ffhq1024/25843.png,0
22453,train_stylegan2/95089.png,1
8498,ffhq1024/54140.png,0
7279,ffhq1024/12332.png,0
2338,ffhq1024/67942.png,0
18174,train_stylegan2/93088.png,1
19429,train_stylegan2/117877.png,1
16814,train_stylegan2/59623.png,1
12089,ffhq1024/47089.png,0
26336,train_stylegan2/100706.png,1
24759,train_stylegan2/69353.png,1
2386,ffhq1024/35385.png,0
1702,ffhq1024/50446.png,0
24556,train_stylegan2/115889.png,1
15494,train_stylegan2/57268.png,1
10452,ffhq1024/03054.png,0
5727,ffhq1024/45428.png,0
14760,ffhq1024/02813.png,0
23262,train_stylegan2/81195.png,1
27089,train_stylegan2/118488.png,1
26764,train_stylegan2/103695.png,1
14326,ffhq1024/07241.png,0
17351,train_stylegan2/106629.png,1
23864,train_stylegan2/94788.png,1
3962,ffhq1024/31126.png,0
23416,train_stylegan2/100245.png,1
2798,ffhq1024/32210.png,0
3889,ffhq1024/33428.png,0
18569,train_stylegan2/113897.png,1
7115,ffhq1024/04402.png,0
2495,ffhq1024/37728.png,0
6910,ffhq1024/61746.png,0
13968,ffhq1024/34407.png,0
5504,ffhq1024/21223.png,0
6077,ffhq1024/61099.png,0
27659,train_stylegan2/51265.png,1
11331,ffhq1024/47269.png,0
18531,train_stylegan2/50140.png,1
26550,train_stylegan2/102165.png,1
16585,train_stylegan2/92939.png,1
19326,train_stylegan2/101358.png,1
17583,train_stylegan2/98021.png,1
5465,ffhq1024/24115.png,0
21421,train_stylegan2/81006.png,1
11687,ffhq1024/54628.png,0
17373,train_stylegan2/108833.png,1
8313,ffhq1024/23996.png,0
4963,ffhq1024/41836.png,0
24209,train_stylegan2/119445.png,1
23620,train_stylegan2/60122.png,1
28794,train_stylegan2/81068.png,1
19476,train_stylegan2/96734.png,1
14385,ffhq1024/55695.png,0
12730,ffhq1024/34726.png,0
2981,ffhq1024/29289.png,0
3412,ffhq1024/02009.png,0
9796,ffhq1024/10834.png,0
26977,train_stylegan2/79132.png,1
8275,ffhq1024/28764.png,0
15253,train_stylegan2/52399.png,1
5034,ffhq1024/19745.png,0
29768,train_stylegan2/119811.png,1
12562,ffhq1024/18694.png,0
24500,train_stylegan2/95988.png,1
29425,train_stylegan2/74161.png,1
4534,ffhq1024/26586.png,0
29778,train_stylegan2/73880.png,1
7600,ffhq1024/21789.png,0
9874,ffhq1024/64433.png,0
15111,train_stylegan2/64629.png,1
21652,train_stylegan2/74687.png,1
15386,train_stylegan2/113474.png,1
12185,ffhq1024/18252.png,0
3344,ffhq1024/68457.png,0
11554,ffhq1024/31776.png,0
2335,ffhq1024/10068.png,0
2178,ffhq1024/19560.png,0
6549,ffhq1024/52124.png,0
21311,train_stylegan2/62611.png,1
22120,train_stylegan2/114493.png,1
16643,train_stylegan2/84404.png,1
25086,train_stylegan2/77727.png,1
7528,ffhq1024/43691.png,0
16908,train_stylegan2/92313.png,1
28921,train_stylegan2/64977.png,1
2455,ffhq1024/44699.png,0
26420,train_stylegan2/52896.png,1
7208,ffhq1024/17400.png,0
8226,ffhq1024/27126.png,0
13493,ffhq1024/05032.png,0
12768,ffhq1024/48143.png,0
29617,train_stylegan2/82701.png,1
23203,train_stylegan2/68908.png,1
19328,train_stylegan2/61121.png,1
15985,train_stylegan2/113800.png,1
21911,train_stylegan2/111610.png,1
20319,train_stylegan2/105339.png,1
5508,ffhq1024/18496.png,0
5328,ffhq1024/26957.png,0
18846,train_stylegan2/106673.png,1
20885,train_stylegan2/74005.png,1
19045,train_stylegan2/95972.png,1
10730,ffhq1024/42386.png,0
5200,ffhq1024/28567.png,0
11349,ffhq1024/54832.png,0
14113,ffhq1024/66048.png,0
24270,train_stylegan2/86239.png,1
270,ffhq1024/49616.png,0
15364,train_stylegan2/60429.png,1
2399,ffhq1024/49491.png,0
22446,train_stylegan2/103316.png,1
21324,train_stylegan2/53433.png,1
18180,train_stylegan2/78710.png,1
12830,ffhq1024/40326.png,0
11440,ffhq1024/11176.png,0
21901,train_stylegan2/54705.png,1
26214,train_stylegan2/94634.png,1
21917,train_stylegan2/61186.png,1
17974,train_stylegan2/93725.png,1
19009,train_stylegan2/119628.png,1
20203,train_stylegan2/69871.png,1
18905,train_stylegan2/119050.png,1
24932,train_stylegan2/85112.png,1
25049,train_stylegan2/88216.png,1
13732,ffhq1024/67947.png,0
2727,ffhq1024/59299.png,0
25692,train_stylegan2/63863.png,1
29930,train_stylegan2/112949.png,1
3112,ffhq1024/13497.png,0
24503,train_stylegan2/81703.png,1
9854,ffhq1024/60076.png,0
28360,train_stylegan2/55144.png,1
4386,ffhq1024/25158.png,0
18420,train_stylegan2/119190.png,1
27102,train_stylegan2/101952.png,1
11598,ffhq1024/34457.png,0
23967,train_stylegan2/67607.png,1
26262,train_stylegan2/90018.png,1
2004,ffhq1024/47718.png,0
19736,train_stylegan2/93837.png,1
29978,train_stylegan2/70560.png,1
6129,ffhq1024/56498.png,0
18524,train_stylegan2/70082.png,1
10503,ffhq1024/69437.png,0
5155,ffhq1024/12001.png,0
11226,ffhq1024/68413.png,0
9282,ffhq1024/46817.png,0
25183,train_stylegan2/59556.png,1
20616,train_stylegan2/58883.png,1
26663,train_stylegan2/109734.png,1
17616,train_stylegan2/108741.png,1
29282,train_stylegan2/82438.png,1
3252,ffhq1024/33657.png,0
3692,ffhq1024/48151.png,0
21148,train_stylegan2/116619.png,1
20669,train_stylegan2/115010.png,1
19893,train_stylegan2/67165.png,1
22340,train_stylegan2/96916.png,1
12975,ffhq1024/00193.png,0
16860,train_stylegan2/69928.png,1
7636,ffhq1024/34130.png,0
25910,train_stylegan2/84160.png,1
22934,train_stylegan2/55921.png,1
11577,ffhq1024/67803.png,0
29364,train_stylegan2/61829.png,1
24065,train_stylegan2/97678.png,1
23985,train_stylegan2/51376.png,1
14673,ffhq1024/07760.png,0
28425,train_stylegan2/61661.png,1
6370,ffhq1024/34650.png,0
27389,train_stylegan2/91089.png,1
14731,ffhq1024/22524.png,0
29182,train_stylegan2/117013.png,1
29166,train_stylegan2/108352.png,1
143,ffhq1024/60455.png,0
2027,ffhq1024/44767.png,0
12526,ffhq1024/34559.png,0
5655,ffhq1024/67117.png,0
25131,train_stylegan2/95148.png,1
27098,train_stylegan2/94563.png,1
23202,train_stylegan2/80590.png,1
11823,ffhq1024/02015.png,0
20026,train_stylegan2/95659.png,1
5022,ffhq1024/38902.png,0
15075,train_stylegan2/112736.png,1
10918,ffhq1024/24333.png,0
27287,train_stylegan2/72888.png,1
14132,ffhq1024/45413.png,0
23646,train_stylegan2/70760.png,1
27699,train_stylegan2/67370.png,1
21537,train_stylegan2/100854.png,1
12727,ffhq1024/34828.png,0
29045,train_stylegan2/72469.png,1
26495,train_stylegan2/110430.png,1
16365,train_stylegan2/107631.png,1
14595,ffhq1024/30029.png,0
27350,train_stylegan2/54776.png,1
21168,train_stylegan2/76202.png,1
1393,ffhq1024/43024.png,0
15849,train_stylegan2/56232.png,1
14381,ffhq1024/19610.png,0
12206,ffhq1024/55638.png,0
12197,ffhq1024/27795.png,0
2943,ffhq1024/11312.png,0
11988,ffhq1024/46178.png,0
13220,ffhq1024/37050.png,0
26172,train_stylegan2/72231.png,1
23007,train_stylegan2/60452.png,1
23149,train_stylegan2/89666.png,1
20136,train_stylegan2/101811.png,1
8490,ffhq1024/31970.png,0
3195,ffhq1024/10775.png,0
7602,ffhq1024/57996.png,0
11215,ffhq1024/48316.png,0
17321,train_stylegan2/72955.png,1
20930,train_stylegan2/73179.png,1
14876,ffhq1024/03066.png,0
1073,ffhq1024/42008.png,0
2931,ffhq1024/56013.png,0
26007,train_stylegan2/116380.png,1
26490,train_stylegan2/109517.png,1
17285,train_stylegan2/110439.png,1
23180,train_stylegan2/54719.png,1
23909,train_stylegan2/94799.png,1
24527,train_stylegan2/108217.png,1
5590,ffhq1024/05341.png,0
10705,ffhq1024/03631.png,0
22587,train_stylegan2/109447.png,1
18492,train_stylegan2/117195.png,1
7768,ffhq1024/11619.png,0
27465,train_stylegan2/117373.png,1
17260,train_stylegan2/89585.png,1
1704,ffhq1024/10590.png,0
29047,train_stylegan2/105090.png,1
24154,train_stylegan2/94164.png,1
12061,ffhq1024/01390.png,0
4062,ffhq1024/17619.png,0
12889,ffhq1024/51551.png,0
16945,train_stylegan2/93029.png,1
23458,train_stylegan2/111152.png,1
1684,ffhq1024/40554.png,0
14275,ffhq1024/22496.png,0
24158,train_stylegan2/99932.png,1
7885,ffhq1024/09639.png,0
14446,ffhq1024/24033.png,0
20951,train_stylegan2/53387.png,1
18042,train_stylegan2/106811.png,1
25161,train_stylegan2/55463.png,1
7254,ffhq1024/29726.png,0
8122,ffhq1024/15866.png,0
18544,train_stylegan2/110431.png,1
22868,train_stylegan2/71222.png,1
28341,train_stylegan2/78658.png,1
18004,train_stylegan2/51963.png,1
13873,ffhq1024/07190.png,0
28511,train_stylegan2/111621.png,1
26303,train_stylegan2/106379.png,1
21124,train_stylegan2/109040.png,1
910,ffhq1024/35574.png,0
24462,train_stylegan2/76667.png,1
4898,ffhq1024/51680.png,0
26823,train_stylegan2/63473.png,1
13837,ffhq1024/37631.png,0
3471,ffhq1024/30157.png,0
4106,ffhq1024/44730.png,0
15480,train_stylegan2/52066.png,1
24847,train_stylegan2/98896.png,1
8944,ffhq1024/00345.png,0
12810,ffhq1024/17144.png,0
23924,train_stylegan2/104640.png,1
17421,train_stylegan2/98933.png,1
9240,ffhq1024/42291.png,0
21127,train_stylegan2/79230.png,1
6972,ffhq1024/08402.png,0
18252,train_stylegan2/71809.png,1
24293,train_stylegan2/94454.png,1
5554,ffhq1024/06982.png,0
14690,ffhq1024/35099.png,0
13761,ffhq1024/20444.png,0
20792,train_stylegan2/62710.png,1
27295,train_stylegan2/72121.png,1
21687,train_stylegan2/80150.png,1
5231,ffhq1024/30289.png,0
7147,ffhq1024/43562.png,0
15962,train_stylegan2/58506.png,1
4270,ffhq1024/05327.png,0
1193,ffhq1024/22492.png,0
9313,ffhq1024/49244.png,0
12881,ffhq1024/14874.png,0
28225,train_stylegan2/105314.png,1
7957,ffhq1024/16149.png,0
28575,train_stylegan2/87014.png,1
1496,ffhq1024/63377.png,0
3631,ffhq1024/24489.png,0
1500,ffhq1024/30662.png,0
8147,ffhq1024/36741.png,0
12902,ffhq1024/05889.png,0
15342,train_stylegan2/119608.png,1
20243,train_stylegan2/100532.png,1
8244,ffhq1024/21357.png,0
20818,train_stylegan2/52087.png,1
26768,train_stylegan2/96930.png,1
