,image_path,label
33152,/fssd1/user-data/dogoulis/FFHQ/42286.png,0
45686,/fssd1/user-data/dogoulis/stylegan2_new/95511.png,1
24356,/fssd1/user-data/dogoulis/FFHQ/06075.png,0
63884,/fssd1/user-data/dogoulis/stylegan2_new/52891.png,1
3463,/fssd1/user-data/dogoulis/FFHQ/13092.png,0
45382,/fssd1/user-data/dogoulis/stylegan2_new/74873.png,1
38336,/fssd1/user-data/dogoulis/stylegan2_new/80718.png,1
29756,/fssd1/user-data/dogoulis/FFHQ/37836.png,0
39923,/fssd1/user-data/dogoulis/stylegan2_new/87385.png,1
32608,/fssd1/user-data/dogoulis/FFHQ/20788.png,0
45884,/fssd1/user-data/dogoulis/stylegan2_new/88241.png,1
36942,/fssd1/user-data/dogoulis/stylegan2_new/53957.png,1
58915,/fssd1/user-data/dogoulis/stylegan2_new/86469.png,1
24277,/fssd1/user-data/dogoulis/FFHQ/38985.png,0
42437,/fssd1/user-data/dogoulis/stylegan2_new/92685.png,1
13364,/fssd1/user-data/dogoulis/FFHQ/11856.png,0
45289,/fssd1/user-data/dogoulis/stylegan2_new/51182.png,1
59599,/fssd1/user-data/dogoulis/stylegan2_new/79530.png,1
46905,/fssd1/user-data/dogoulis/stylegan2_new/84749.png,1
19664,/fssd1/user-data/dogoulis/FFHQ/39873.png,0
26833,/fssd1/user-data/dogoulis/FFHQ/34593.png,0
8738,/fssd1/user-data/dogoulis/FFHQ/15354.png,0
6758,/fssd1/user-data/dogoulis/FFHQ/24603.png,0
14689,/fssd1/user-data/dogoulis/FFHQ/03902.png,0
52430,/fssd1/user-data/dogoulis/stylegan2_new/116878.png,1
44873,/fssd1/user-data/dogoulis/stylegan2_new/50277.png,1
55412,/fssd1/user-data/dogoulis/stylegan2_new/57167.png,1
16757,/fssd1/user-data/dogoulis/FFHQ/03499.png,0
35671,/fssd1/user-data/dogoulis/stylegan2_new/105690.png,1
51879,/fssd1/user-data/dogoulis/stylegan2_new/51120.png,1
4576,/fssd1/user-data/dogoulis/FFHQ/31862.png,0
15835,/fssd1/user-data/dogoulis/FFHQ/41525.png,0
47454,/fssd1/user-data/dogoulis/stylegan2_new/61247.png,1
19420,/fssd1/user-data/dogoulis/FFHQ/18756.png,0
43855,/fssd1/user-data/dogoulis/stylegan2_new/87344.png,1
24274,/fssd1/user-data/dogoulis/FFHQ/18647.png,0
30235,/fssd1/user-data/dogoulis/FFHQ/12496.png,0
53375,/fssd1/user-data/dogoulis/stylegan2_new/71763.png,1
51744,/fssd1/user-data/dogoulis/stylegan2_new/55586.png,1
30545,/fssd1/user-data/dogoulis/FFHQ/27765.png,0
2563,/fssd1/user-data/dogoulis/FFHQ/33508.png,0
56759,/fssd1/user-data/dogoulis/stylegan2_new/50331.png,1
64607,/fssd1/user-data/dogoulis/stylegan2_new/52035.png,1
2818,/fssd1/user-data/dogoulis/FFHQ/17733.png,0
51170,/fssd1/user-data/dogoulis/stylegan2_new/76948.png,1
19952,/fssd1/user-data/dogoulis/FFHQ/28728.png,0
29000,/fssd1/user-data/dogoulis/FFHQ/40934.png,0
43740,/fssd1/user-data/dogoulis/stylegan2_new/50613.png,1
26625,/fssd1/user-data/dogoulis/FFHQ/19464.png,0
59269,/fssd1/user-data/dogoulis/stylegan2_new/81736.png,1
20420,/fssd1/user-data/dogoulis/FFHQ/52028.png,0
20805,/fssd1/user-data/dogoulis/FFHQ/46367.png,0
7850,/fssd1/user-data/dogoulis/FFHQ/13807.png,0
47636,/fssd1/user-data/dogoulis/stylegan2_new/59698.png,1
3960,/fssd1/user-data/dogoulis/FFHQ/34860.png,0
34733,/fssd1/user-data/dogoulis/FFHQ/50031.png,0
69101,/fssd1/user-data/dogoulis/stylegan2_new/65655.png,1
49363,/fssd1/user-data/dogoulis/stylegan2_new/83971.png,1
20722,/fssd1/user-data/dogoulis/FFHQ/51481.png,0
