,image_path,label
65,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/23946.png,1
32,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/19959.png,1
3372,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/5500.png,1
1610,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/3244.png,1
1620,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/27725.png,1
985,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/50.png,1
1133,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/1998.png,1
1604,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/14658.png,1
288,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/14640.png,1
572,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/17023.png,1
3693,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/2574.png,1
3886,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/5402.png,1
4642,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/5617.png,1
2441,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/12720.png,1
1798,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22340.png,1
858,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/11347.png,1
2615,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/10347.png,1
4788,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/4546.png,1
3350,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/1326.png,1
2724,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22994.png,1
4306,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/6877.png,1
3083,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/14727.png,1
2139,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/23455.png,1
1929,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/15564.png,1
3977,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/27763.png,1
3976,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/17153.png,1
2583,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/28650.png,1
211,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/27922.png,1
1463,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/21209.png,1
2226,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/17810.png,1
361,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/29493.png,1
4562,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/14509.png,1
568,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8918.png,1
2040,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/17319.png,1
844,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/18356.png,1
863,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/23987.png,1
2683,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8497.png,1
242,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/2338.png,1
4873,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/20938.png,1
4087,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/10319.png,1
1334,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/18102.png,1
3453,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/24185.png,1
1151,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/14567.png,1
4001,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22874.png,1
2452,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/23391.png,1
1486,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/24435.png,1
866,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/21954.png,1
4188,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/263.png,1
2192,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/15502.png,1
4234,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/13190.png,1
362,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/13873.png,1
100,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/18988.png,1
1386,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/10519.png,1
4742,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/20135.png,1
2809,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/28903.png,1
166,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/4649.png,1
3852,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/20939.png,1
4008,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/198.png,1
3710,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8598.png,1
3440,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/7209.png,1
996,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/16067.png,1
1501,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/21657.png,1
2173,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8333.png,1
898,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/3519.png,1
3348,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/29206.png,1
1226,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/19648.png,1
210,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/16528.png,1
4618,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/15215.png,1
2081,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/28201.png,1
957,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/19352.png,1
3551,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/13969.png,1
1714,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22063.png,1
4266,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8406.png,1
1615,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/3664.png,1
2942,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/24082.png,1
935,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/17030.png,1
1251,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/3406.png,1
2510,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/11183.png,1
4435,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/15689.png,1
3626,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/4582.png,1
2800,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/9625.png,1
3911,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/766.png,1
2138,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8671.png,1
1281,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/18366.png,1
188,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22462.png,1
4079,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/4259.png,1
1106,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/15522.png,1
1710,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8253.png,1
4007,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/8256.png,1
2111,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/10863.png,1
1204,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/22067.png,1
895,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/1925.png,1
3282,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/21935.png,1
4757,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/15963.png,1
4944,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/12119.png,1
1553,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/25144.png,1
4447,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/29649.png,1
468,/home/dogoulis/WORKSPACE/data/OTHERS/stylegan2/12725.png,1
